time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2024-07-09 02:00:00,2024-07-09 17:45:00,BUY,OB-BOS,2360.84,2354.3,2379.56,2354.3,0.11,-72.67,-1.011,SL,1.03,7018.22
2024-07-09 21:15:00,2024-07-15 17:45:00,BUY,OB-BOS,2364.35,2350.89,2426.59,2426.59,0.05,310.85,4.618,TP,0.16,7329.07
2024-07-23 05:45:00,2024-07-24 05:15:00,SELL,OB-BOS,2399.26,2412.99,2349.29,2412.99,0.05,-68.98,-1.005,SL,1.2,7260.09
2024-07-24 14:45:00,2024-07-24 21:00:00,BUY,OB-CHoCH,2417.68,2406.45,2457.44,2406.45,0.06,-67.79,-1.006,SL,1.06,7192.3
2024-07-25 02:15:00,2024-07-25 04:30:00,BUY,FVG-POI,2400.22,2382.53,2457.44,2382.53,0.04,-71.04,-1.004,SL,1.68,7121.26
2024-07-29 20:15:00,2024-08-06 02:15:00,BUY,OB-BOS,2380.15,2347.15,2483.54,2408.74,0.02,57.04,0.864,time_stop,0.49,7178.3
2024-08-06 02:30:00,2024-08-08 17:15:00,SELL,FVG-POI,2406.41,2423.46,2352.97,2423.46,0.04,-68.49,-1.004,SL,1.03,7109.81
2024-08-15 15:30:00,2024-08-16 15:45:00,SELL,OB-CHoCH,2452.9,2476.5,2378.94,2476.5,0.03,-71.01,-1.003,SL,1.67,7038.81
2024-08-22 08:45:00,2024-08-22 15:00:00,BUY,OB-BOS,2505.73,2497.38,2531.53,2497.38,0.08,-67.38,-1.008,SL,1.15,6971.43
2024-08-23 08:45:00,2024-08-23 11:15:00,SELL,FVG-POI,2491.41,2496.61,2474.9,2496.61,0.13,-68.45,-1.013,SL,1.16,6902.98
2024-08-26 03:45:00,2024-08-26 10:30:00,SELL,FVG-POI,2513.29,2520.86,2491.55,2520.86,0.09,-68.78,-1.009,SL,1.11,6834.2
2024-08-27 10:15:00,2024-08-28 02:00:00,SELL,OB-CHoCH,2510.89,2527.02,2450.64,2527.02,0.04,-64.81,-1.004,SL,1.12,6769.39
2024-08-28 04:00:00,2024-08-28 15:30:00,SELL,OB-CHoCH,2520.87,2527.96,2494.32,2494.32,0.1,264.8,3.737,TP,0.16,7034.19
2024-08-28 23:30:00,2024-08-29 20:00:00,SELL,OB-CHoCH,2503.97,2526.78,2432.09,2526.78,0.03,-68.63,-1.003,SL,1.02,6965.56
2024-08-29 21:30:00,2024-08-30 18:30:00,SELL,OB-CHoCH,2522.98,2527.74,2502.73,2502.73,0.15,302.7,4.243,TP,0.79,7268.26
2024-09-02 03:45:00,2024-09-05 11:15:00,SELL,FVG-POI,2501.1,2515.65,2450.64,2515.65,0.05,-73.09,-1.005,SL,1.01,7195.17
2024-09-18 16:30:00,2024-09-18 21:00:00,SELL,OB-CHoCH,2572.91,2588.31,2512.9,2588.31,0.05,-77.34,-1.005,SL,1.2,7117.83
2024-09-18 22:00:00,2024-09-20 09:45:00,SELL,OB-CHoCH,2565.71,2604.17,2450.64,2604.17,0.02,-77.06,-1.002,SL,1.07,7040.77
2024-09-30 10:45:00,2024-10-07 15:45:00,SELL,OB-CHoCH,2650.56,2675.64,2569.65,2640.09,0.03,31.2,0.415,time_stop,0.9,7071.97
