time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2014-09-05 08:45:00,2014-09-05 15:30:00,BUY,SweepEQL,1264.97,1262.15,1273.67,1262.15,0.23,-66.4,-1.025,SL,1.34,6427.72
2014-09-05 15:30:00,2014-09-08 16:45:00,BUY,SweepEQL,1269.09,1260.62,1296.3,1260.62,0.08,-68.31,-1.008,SL,1.19,6359.41
2014-09-08 20:45:00,2014-09-09 18:45:00,BUY,SweepEQL,1256.11,1250.78,1271.63,1250.78,0.12,-64.84,-1.013,SL,1.12,6294.57
2014-09-15 13:45:00,2014-09-15 15:30:00,BUY,SweepEQL,1236.17,1233.97,1241.93,1233.97,0.29,-65.75,-1.032,SL,1.43,6228.82
2014-09-17 20:45:00,2014-09-17 21:00:00,BUY,SweepEQL,1237.01,1233.41,1246.78,1233.41,0.17,-62.38,-1.019,SL,2.69,6166.44
2014-09-18 11:15:00,2014-09-18 14:30:00,BUY,SweepEQL,1225.65,1221.63,1239.05,1221.63,0.15,-61.4,-1.017,SL,1.13,6105.05
2014-09-29 09:30:00,2014-09-29 23:15:00,BUY,SweepEQL,1218.89,1214.81,1231.14,1214.81,0.15,-62.26,-1.017,SL,1.01,6042.78
2014-10-01 12:15:00,2014-10-02 06:00:00,BUY,SweepEQL,1208.87,1204.88,1219.96,1219.96,0.15,165.3,2.761,TP,0.29,6208.08
2014-10-02 15:30:00,2014-10-03 09:45:00,BUY,SweepEQL,1213.99,1207.86,1234.99,1207.86,0.1,-62.04,-1.011,SL,1.23,6146.05
2014-10-10 15:45:00,2014-10-13 01:00:00,SELL,SweepEQH,1220.9,1225.77,1204.96,1225.77,0.13,-64.2,-1.014,SL,1.55,6081.85
2014-11-06 15:15:00,2014-11-06 15:30:00,BUY,SweepEQL,1148.71,1142.19,1167.67,1142.19,0.09,-59.33,-1.011,SL,1.16,6022.52
2014-11-11 18:15:00,2014-11-14 08:15:00,BUY,SweepEQL,1160.35,1152.72,1203.08,1152.72,0.08,-61.59,-1.009,SL,1.31,5960.93
2014-11-19 14:15:00,2014-11-21 15:00:00,SELL,SweepEQH,1193.85,1202.66,1146.72,1202.66,0.07,-62.19,-1.008,SL,1.56,5898.73
2014-11-24 09:45:00,2014-11-28 19:00:00,SELL,SweepEQH,1196.91,1204.02,1176.65,1176.65,0.08,161.52,2.839,TP,0.83,6060.25
2014-12-04 01:00:00,2014-12-04 15:45:00,SELL,SweepEQH,1208.28,1211.49,1199.41,1211.49,0.19,-62.29,-1.022,SL,1.56,5997.96
2014-12-08 12:30:00,2014-12-08 20:45:00,SELL,SweepEQH,1194.43,1198.51,1169.2,1198.51,0.15,-62.29,-1.017,SL,1.41,5935.67
